"TICKER","EMPRESA","SECTOR","INTANGIBLES","SWITCHING_COSTS","NETWORK_EFFECT","COST_ADVANTAGE","SUBTIPO_MOAT","MOAT_RATING","DURABILIDAD_ANOS","MOAT_TREND","RIESGO_EROSION","EVIDENCIA_1","EVIDENCIA_2","ROCE_MEDIANA","TEST_CUANTITATIVO","JUSTIFICACION_FINANCIERA","CONFIANZA"
"PEP","PepsiCo","Bienes de consumo","3","0","0","3","A1 Marca + D4a Escala (distribucion DSD)","Wide",">20 años","Narrowing","ACTIVA §2.7 nº1 (perdida de poder de precio): bajadas de precio en snacks Frito-Lay ya ejecutadas ante resistencia del consumidor - erosion materializada","Cartera de marcas lideres con poder de precio historico + red de distribucion directa a tienda (DSD) que da acceso a estanteria que los rivales no replican (D4a)","Escala en distribucion y marketing (Frito-Lay ~mitad del mercado de snacks salados US)","24,8%","Aprobado","Mediana ROCE 24,8%. Foso A1 marca + D4a distribucion DSD. Narrowing (Rama A): la perdida de poder de precio se materializa - PepsiCo baja precios de snacks ante resistencia del consumidor. §2.7 nº1 activo","Alta"
"MC","LVMH","Bienes de consumo","3","0","0","0","A1 Marca (lujo, cartera de maisons)","Wide",">20 años","Stable","Riesgo a vigilar (no activo): la caida de crecimiento organico es CICLICA (§2.5), no erosion de foso - pricing power de Louis Vuitton/Dior intacto","Cartera de 75+ maisons con poder de precio (Louis Vuitton, Dior) - prima sostenida sobre producto equivalente","Escala y diversificacion (moda, vinos, joyeria) que amortigua ciclos + control de distribucion propia","19,5%","Aprobado","Mediana ROCE 19,5% (2025-29). Foso A1 de marca de lujo diversificada. La caida organica reciente es ciclica (§2.5), no erosion → Stable","Alta"
"V","Visa","Servicios financieros","0","1","2","3","C Efecto red + D4 Escala (red de pagos)","Wide",">20 años","Stable","Riesgos a vigilar (no activos): rails A2A (Pix/UPI/FedNow), acuerdo interchange 2025, client incentives acelerando como concesion a emisores - el take rate sigue subiendo","Red de pagos asset-light: 4,9B credenciales, 257,5B transacciones, $16,7T volumen con coste incremental minimo (escala/red)","Monetizacion por encima del volumen via pricing selectivo + servicios de valor añadido (VAS +27%)","61,1%","Aprobado","Mediana ROCE 61,1% (2024-28) INTERPRETABLE (no distorsionada a >100% como MA). Mismo foso de red que Mastercard pero califica Wide porque su estructura de capital no anula el ROCE","Alta"
"MSFT","Microsoft","Software","0","3","2","2","B1 Integracion empresarial + D4b Escala cloud","Wide",">20 años","Stable","Riesgo a vigilar (no activo, Rama B): §2.7-5 el capex masivo de IA comprime el ROCE proyectado (44,8→31,1% con goodwill) - transito de asset-light software a infra intensiva en capital con D&A explotando (28.000→128.568). Inversion DENTRO del pilar (Azure es el core), no diworsification, pero si buena parte del capex de GPUs es maintenance recurrente (reemplazo 4-6 años) la D&A alta es permanente. Vigilar commoditizacion de la capa de infraestructura","Contratos annuity empresariales (mix ~98%) con renovaciones sanas y RPO comercial $678B (+84% a/a, FY2026) - lock-in de integracion operativa que refuerza el mecanismo B1","Poder de precio sobre base cautiva - upsell E5/Copilot + Azure y cloud +27% con Microsoft Cloud $59,3B (+27%) - ARPU creciente en base instalada","41,6%","Aprobado","Mediana ROCE 41,6% (2024-28). Foso de switching costs (B1) + escala cloud (D4b). KPI de retencion en maximos (RPO $678B +84%, annuity ~98%) → mecanismo Widening, sin señal §2.7 activa = Rama B. Pero divergencia critica: el ROCE cae ~14 puntos (44,8→31,1%) por intensidad de capital de IA - el foso alarga la DURACION del retorno (§2.1) pero su NIVEL se comprime. MOAT_TREND Stable (no Narrowing: erosion no materializada en KPI ni pricing). NOTA one-off FY2026: GAAP NI 133.700 inflado ~10.800 por ganancias OpenAI (4.963) + Anthropic (3.200) + VRP neto - normalizado ~122.900 (+15% vs +31% titular)","Alta"
"ADBE","Adobe","Software","2","2","0","0","B Switching (Creative Cloud) + A1 Marca","Wide","10-20 años","Narrowing","ACTIVA §2.7 nº2 (disrupcion): Figma (NDR 139%, +37-46%), Canva y herramientas AI-native erosionan la formacion de nuevos usuarios - ARR desacelerando (11,5%→guia 10,2%) - erosion materializada","Base cautiva de 32,5M suscriptores Creative Cloud con Firefly embebido y upsell por creditos dentro de la suscripcion existente","Estandar de facto aprendido en formacion reglada (coste de reentrenamiento), Firefly 29% del mercado de herramientas AI de diseño","85,3%","Aprobado","Mediana ROCE 85,3% (2024-28). Foso hoy amplio (switching + marca) pero bajo disrupcion AI-native activa que desacelera ARR y comprime el horizonte → Wide de existencia con tendencia Narrowing documentada (Rama A)","Media"
"MCO","Moody's","Servicios a empresas","3","2","1","0","A3 Licencia regulatoria (NRSRO)","Wide",">20 años","Widening","Riesgo a vigilar (no activo): ciclicidad de emision (MIS transaccional, §2.5), integracion de AI como herramienta (no disrupcion)","Estatus NRSRO - prerequisito legal para calculos de adecuacion de capital, los mandatos institucionales exigen ratings NRSRO (barrera casi permanente)","Duopolio con S&P inquebrantado 4 decadas + base de datos de defaults centenaria irreplicable, retencion MA 94% con cross-sell","38,7%","Aprobado","Mediana ROCE 38,7% (2023-27). Foso A3 canonico de Dorsey (NRSRO). Recurrente subiendo a 96%, pricing power anual intacto, expansion en private credit/analytics dentro del foso → Widening","Alta"
"KSPI","Kaspi.kz","Servicios financieros","0","2","2","1","C Efecto red (super-app) + B Switching","Wide","10-20 años","Widening","Riesgos a vigilar (no activos): concentracion monopais (Kazajistan), cambios regulatorios/fiscales (afectan al crecimiento, no al take rate), batibilidad teorica de red en EM - la red se refuerza","Take rate subiendo (10,1→12,7%) via publicidad y logistica sobre base saturada, no por subida bruta de comisiones (monetizacion por nodo)","Ecosistema auto-reforzante pagos-marketplace-credito con CAC incremental cero, 76 tx/mes por usuario (switching por integracion diaria)","n/c","Aprobado (financiera - ROE ~15%)","ROCE no interpretable (financiera). ROE mediana ~15% (borderline). Foso de super-app real (red + switching) con monetizacion creciente, pero la concentracion monopais limita el horizonte → Wide 10-20. Regulacion = Rama B","Media"
"GOOG","Alphabet","Medios","3","1","2","2","A1 Intangible (franquicia de busqueda) + C Flywheel de datos","Wide",">20 años","Stable","Riesgos a vigilar (no activos): sustitucion de busqueda por asistentes AI (ChatGPT/Perplexity) y antitrust DOJ - la monetizacion de busqueda crece y AI Overviews expande queries","Flywheel de datos - mas usuarios mas datos mejor targeting mas anunciantes mejor AI mejor busqueda (ciclo de dos decadas)","Monetizacion mantenida en la transicion AI - AI Overviews (2B+ usuarios) expanden queries sin diluir el ingreso por busqueda (paridad con ads tradicionales)","40,3%","Aprobado","Mediana ROCE 40,3% (2024-28). Franquicia de busqueda + flywheel de datos. La monetizacion mejora pero el ROCE se comprime por capex de IA ($90B+) → divergencia → Stable. Disrupcion AI = Rama B (no activa: la busqueda crece)","Alta"
"META","Meta Platforms","Medios","2","0","3","2","C Efecto red (grafo social) + D4b Escala publicitaria","Wide",">20 años","Stable","Riesgos a vigilar (no activos): modelo de consentimiento publicitario UE y competencia TikTok - precio por anuncio y ARPU globales siguen subiendo","Grafo social de 3,54B DAP (+8%) con impresiones creciendo por mayor engagement (efecto red)","Precio por anuncio +9% por demanda de anunciantes y mejor targeting AI - monetizacion por nodo al alza sobre red creciente","51,9%","Aprobado","Mediana ROCE 51,9% (2024-28). Red social + escala publicitaria. La monetizacion por nodo mejora pero el ROCE se comprime por capex IA/Reality Labs → divergencia → Stable. UE/TikTok = Rama B","Alta"
"NVDA","NVIDIA","Hardware","1","3","0","2","B Switching (ecosistema CUDA) + D4b Escala","Wide","10-20 años","Stable","Riesgos a vigilar (no activos, margen intacto): ASICs propios de hyperscalers (TPU/Trainium/MTIA), ROCm de AMD al 85% de paridad, insourcing - visibles pero NO comprimen margen/cuota","Lock-in del ecosistema CUDA - 20 años, 4M+ desarrolladores, todo framework ML optimizado para CUDA, universidades lo enseñan (cambio medido en años)","Poder de precio del lock-in - margen bruto 74-78% (20pp sobre pares), H100 cuesta $3.320 y se vende a $28.000","~183%","Aprobado","Mediana ROCE ~183% (2024-28, muy alta por base de capital reducida, no >3x → interpretable). Switching CUDA + escala. Margen bruto sostenido → KPI estable. ASICs/ROCm = Rama B. Durabilidad 10-20 por condicionalidad del gap","Alta"
